,url,date,title
0,https://www.pngbusinessnews.com/articles/2023/7/papua-new-guinea-and-france-forge-cooperation-in-forest-management-conservation-and-climate-change,2023-07-31,"Papua New Guinea and France Forge Cooperation in Forest Management, Conservation, and Climate Change"
1,https://www.pngbusinessnews.com/articles/2023/7/k92-mining-announces-significant-de-risking-milestone-awarding-lump-sum-fixed-price-contract-for-the-design-and-construction-of-the-1-2-mtpa-stage-3-process-plant,2023-07-31,K92 Mining Announces Significant De-Risking Milestone - Awarding Lump Sum Fixed Price Contract for the Design and Construction of the 1.2 mtpa Stage 3 Process Plant
2,https://www.pngbusinessnews.com/articles/2023/7/new-graduates-for-kumul-petroleum,2023-07-31,New graduates for Kumul Petroleum
3,https://www.pngbusinessnews.com/articles/2023/7/us-defense-secretary-s-visit-solidifies-us-png-ties,2023-07-31,US Defense Secretary’s visit solidifies US-PNG ties
4,https://www.pngbusinessnews.com/articles/2023/7/marape-government-strives-to-boost-oil-palm-production-by-2027,2023-07-31,Marape Government strives to boost oil palm production by 2027
5,https://www.pngbusinessnews.com/articles/2023/7/png-hong-kong-china-chamber-of-commerce-to-be-officially-recognised,2023-07-31,"PNG (Hong Kong, China) Chamber of Commerce to be Officially Recognised"
6,https://www.pngbusinessnews.com/articles/2023/7/shenzhen-to-house-new-trade-mission,2023-07-31,Shenzhen to House New Trade Mission
7,https://www.pngbusinessnews.com/articles/2023/7/governor-keen-on-direct-flights-between-port-moresby-and-guangzhou,2023-07-31,Governor Keen on Direct Flights Between Port Moresby and Guangzhou
8,https://www.pngbusinessnews.com/articles/2023/7/pactow-involved-in-png-port-upgrades,2023-07-31,PacTow Involved in PNG Port Upgrades
9,https://www.pngbusinessnews.com/articles/2023/7/empowering-papua-new-guinea-s-workforce-png-cr-harnesses-the-potential-of-wan-png,2023-07-24,Empowering Papua New Guinea's Workforce: PNG CR Harnesses the Potential of Wan PNG
10,https://www.pngbusinessnews.com/articles/2023/7/touchstone-ndt-limited-joins-chamber,2023-07-21,TOUCHSTONE NDT LIMITED JOINS CHAMBER
11,https://www.pngbusinessnews.com/articles/2023/7/papua-new-guineans-pay-up-to-100-more-for-rice-than-they-should-be,2023-07-21,Papua New Guineans Pay up to 100% More For Rice Than They Should Be
12,https://www.pngbusinessnews.com/articles/2023/7/first-step-towards-reopening-of-porgera-mine-starts-today-pm-marape,2023-07-21,FIRST STEP TOWARDS REOPENING OF PORGERA MINE STARTS TODAY – PM MARAPE
13,https://www.pngbusinessnews.com/articles/2023/7/prime-minister-james-marape-highlights-rugby-league-as-a-powerful-uniting-force-for-papua-new-guinea-at-nrl-bid-corporate-dinner,2023-07-21,PRIME MINISTER JAMES MARAPE HIGHLIGHTS RUGBY LEAGUE AS A POWERFUL UNITING FORCE FOR PAPUA NEW GUINEA AT NRL BID CORPORATE DINNER
14,https://www.pngbusinessnews.com/articles/2023/7/government-barrick-working-toward-september-opening-for-new-porgera,2023-07-21,"GOVERNMENT, BARRICK WORKING TOWARD SEPTEMBER OPENING FOR NEW PORGERA"
15,https://www.pngbusinessnews.com/articles/2023/7/pm-marape-commends-works-and-highways-as-trans-national-highway-nears-completion,2023-07-21,PM Marape Commends Works and Highways as Trans-National Highway Nears Completion
16,https://www.pngbusinessnews.com/articles/2023/7/pngx-welcomes-market-growth-targets-corporate-debt-market-and-listed-property-trusts-to-develop-local-capital-markets,2023-07-21,"PNGX welcomes market growth targets, corporate debt market and listed property trusts to develop local capital markets"
17,https://www.pngbusinessnews.com/articles/2023/7/santos-delivers-new-literacy-library-for-people-of-pimaga-southern-highlands,2023-07-21,"Santos delivers new Literacy Library for people of Pimaga, Southern Highlands"
18,https://www.pngbusinessnews.com/articles/2023/7/central-chamber-of-commerce-and-industry-established-to-serve-the-people-of-central-province,2023-07-18,Central Chamber of Commerce and Industry Established to Serve the People of Central Province 
19,https://www.pngbusinessnews.com/articles/2023/7/santos-joins-pngdf-in-campaign-against-violence,2023-07-17,Santos joins PNGDF in campaign against violence 
20,https://www.pngbusinessnews.com/articles/2023/7/minister-pleased-with-the-design-work-for-the-wewak-and-vanimo-international-wharves,2023-07-17,Minister Pleased with the Design Work for the Wewak and Vanimo International Wharves
21,https://www.pngbusinessnews.com/articles/2023/7/jx-nippon-transfer-official-signing-ceremony-in-port-moresby,2023-07-17,JX Nippon Transfer Official Signing Ceremony in Port Moresby
22,https://www.pngbusinessnews.com/articles/2023/7/pomaleu-project-designed-to-improve-connectivity,2023-07-17,Pomaleu: Project designed to improve connectivity
23,https://www.pngbusinessnews.com/articles/2023/7/k92-mining-announces-significant-production-increase-in-q2-to-30-794-gold-equivalent-ounces-and-significant-increase-to-metallurgical-recoveries-with-stage-2a-expansion-commissioned,2023-07-17,"K92 Mining Announces Significant Production Increase in Q2 to 30,794 Gold Equivalent Ounces and Significant Increase to Metallurgical Recoveries With Stage 2A Expansion Commissioned"
24,https://www.pngbusinessnews.com/articles/2023/6/png-mourns-loss-of-kostas-constantinou,2023-06-20,PNG Mourns Loss of Entrepreneur & Philanthropist Kostas Constantinou
25,https://www.pngbusinessnews.com/articles/2023/6/png-s-commercial-interest-is-not-being-compromised-by-dca-minister-maru,2023-06-19,PNG’s Commercial Interest is Not Being Compromised by DCA: Minister Maru
26,https://www.pngbusinessnews.com/articles/2023/6/abg-takes-firm-stance-on-exploitation-of-resources,2023-06-19,ABG takes firm stance on exploitation of resources
27,https://www.pngbusinessnews.com/articles/2023/6/pm-marape-presents-china-png-visa-agreement-to-parliament,2023-06-19,PM MARAPE PRESENTS CHINA-PNG VISA AGREEMENT TO PARLIAMENT
28,https://www.pngbusinessnews.com/articles/2023/6/pm-marape-presents-indonesia-png-visa-agreement-to-parliament,2023-06-19,PM Marape presents Indonesia-PNG visa agreement to Parliament
29,https://www.pngbusinessnews.com/articles/2023/6/pngx-welcomes-ministerial-statement-on-newcrest-and-newmont,2023-06-19,PNGX WELCOMES MINISTERIAL STATEMENT ON NEWCREST AND NEWMONT 
