,ner,url
0,An Industry Networking Event,https://www.pngbusinessnews.com/articles/2019/5/png-industrial-and-mining-resources-exhibition
1,"APEC, the Australia PNG Business Council, the Stanley Hotel and Suites, APEC Haus, the Australia PNG Business Forum and Trade Expo, The Road Ahead, the Business Council of PNG, the House of Parliament, New Guinea’s, PNG European Union, Strengthening Trade and Investment, EU, the Chair of UNESCAP Asia Pacific Business Forum, the United National Asia Pacific Business Forum, Themed ‘Global Goals, Local Opportunities, the UN Economic and Social Committee for Asia, the Pacific Sustainable Business Network",https://www.pngbusinessnews.com/articles/2019/5/papua-new-guinea-investment-week
2,"the World Bank, Bank of PNG Governor, Liquefied Natural Gas, LNG, Japan, btmu, mt, the Central Bank, the Papua LNG, US",https://www.pngbusinessnews.com/articles/2019/6/improvements-in-most-png-export-commodity-prices
3,"Papua New Guinea, the PNG Government, the Investment Promotion (Amendment, Frequently Asked Questions, the Investment Promotion Authority’s, www.ipa.gov.pg, Foreign Investment Regulatory Authority, FIRA, the PNG Parliament, •, Registrar of Foreign Investment, Board",https://www.pngbusinessnews.com/articles/2019/6/what-foreign-investors-need-to-know-about-the-investment-promotion-amendment-bill
4,"the Coral Sea Cable System, Papua New Guinea, International Submarine Cable, Solomon Islands, Australia, The Coral Sea Cable System, Port Moresby, Sydney, National Executive Council, Domestic Submarine Cable, Government, China, EXIM Bank, Kumul Telikom Holdings, Kumul Consolidated Holdings, KCH, Papua New Guinea’s, the State-Owned Enterprises",https://www.pngbusinessnews.com/articles/2019/6/submarine-cable-soon-to-launch
5,"the Steamships Group, Fiji, Suva, Pacific Towing, ‘Southern Phoenix’, Suva Harbour, Marine Operations, Camara Geita, Hong Kong, Japan, Thailand, Philippines, Singapore, Denmark, Qatar, Australia, Women’s Maritime Scholarship, the PNG Business Coalition for Women",https://www.pngbusinessnews.com/articles/2019/6/png-s-pacific-towing-on-track-and-expanding-in-fiji
6,"Independent Power Producers of Papua, New Guinea, Papua New Guinea, the Independent Power Producers, Utility, Government and Independent Power Producers, Grid, PPA, the Pacific Islands, Caribbean, Thailand, Indonesia, OECD, Asia, State",https://www.pngbusinessnews.com/articles/2019/6/challenges-of-cheap-power-in-small-island-developing-states
7,"HNGI, Lolak junction, Manus, Hornibrook NGI LTD, Jacobs, the Australian Department of Home Affairs, Lombrum Base, Lae Fab, the PNG Department of Works and Aust, Wirtgen road, Project Engineer, the Manus Regional Department of Works, Lorengau",https://www.pngbusinessnews.com/articles/2019/6/hornibrook-uses-local-resources-for-manus-road-work
8,"Port Moresby, Oceania Premier Security Industry Event, Security Conference & Exhibition, PNG Security Congress, security & third, electricity & agriculture;Large enterprise systems;Asset, Pacific",https://www.pngbusinessnews.com/articles/2019/6/png-security-congress-conference-exhibition
9,"Papua New Guinea, Conference, the Gulf of Papua, the Coral Sea, Petroleum Conventions, Port Moresby, the PNG Chamber of Mines and Petroleum, Asia Pacific Programs",https://www.pngbusinessnews.com/articles/2019/6/1st-aapg-eage-png-petroleum-geoscience-conference-exhibition
10,"Papua New Guinea’s, THE STANLEY HOTEL, the Port Moresby Chamber of Commerce and Business, Deloitte Centre for The Edge, Innovation, Brisbane, Hewlett Packard, HP, CTO, Palo Alto, PNGDigital, moneyE-GovernmentEducation",https://www.pngbusinessnews.com/articles/2019/9/innovation-png-2019-conference
11,"Australia, Papua New Guinea, the National Catering Service, NCS, Lihir Gold, NKW Fresh, the Hidden Valley Gold Mine, Morobe, NCS Holdings Ltd, NKW Holdings, Lancos, the PNG-Australia Partnership, PNG.Many, NKW Fresh Field Extension Officers, FEO, Wau, Markham, Kainantu, K1,000, NKW FEO’s, MDF, the Papua New Guinea-Australia Partnership",https://www.pngbusinessnews.com/articles/2019/9/collaboration-partnerships-and-innovation-impacting-lives-of-rural-farmers
12,"Captains, Niugini Pilots Limited, Papua New Guinea’s, Marine Pilot, the Australasian Marine Pilots Institution, AMPI, NZMP, the Asia Pacific Maritime Pilots, Mariners Workshop, Marine Pilots and Marine Pilot Services, The Upcoming event, Pilotage and Port Logistics Conference, Dolton House, Sydney, Australia, Continuous Personnel Development, CPD, NPL, Marine Pilotage, International Operational Standard, Continuous Professional Development, Marine Pilotage Service Provider",https://www.pngbusinessnews.com/articles/2019/9/niugini-pilots-limited-leading-maritime
13,"South East Asia, Singapore, ‘Coal in Asia’, India, China, Indonesia, Indonesia Coal Mining Association, Mining Investment Asia 2020, CEO & Founder, Malaysia, Havelock Mining Investment (China, Dh Ngo, Group Executive, First Indochina Group, Vietnam, Penida Capital (, Mazarin Capital, Hong Kong)Hendra Sinadia, Golden Equator Capital (, Chancery Asset Management, Jayant Bhandari, Anarcho Capital Inc, Canada, the South East Asia, Principal Consultant, Alvito Capital Holding (Singapore, Overall Mining Investment Asia, Philippine Nickel Mining Association, Menteri Besar Inc, Perak, Jarred, Africa, Europe, Latin, North America, the Middle East, Chile, South Africa, Brazil, Spire Events, Mauritania, DRC, Botswana",https://www.pngbusinessnews.com/articles/2019/11/new-coal-in-asia-segment-to-be-launched-at-the-6th-mining-investment-asia-conference-in-singapore
14,"Anitua Housing Solutions, Port Moresby, house, Anitua Group, Anitua Constructions, the Lands Ministry, Department, PNG Power, NCDC, Papua New Guineans",https://www.pngbusinessnews.com/articles/2019/11/anitua-housing-development-back-on-track-for-png-families
15,"Papua New Guinea, Singapore, New Caledonia, Fiji, Australia, the Australian Government and Steamships, China Navigation Company, Pacific Towing, The Australia Awards Maritime, Papua New Guinea’s, Port Moresby, Szechuen, the Asia-Pacific, Cadet Training",https://www.pngbusinessnews.com/articles/2019/11/female-maritime-cadets-aim-high-on-the-high-seas
16,"OceaneeringDigitalisation, NDT, Oceaneering’s, Inform Inspect",https://www.pngbusinessnews.com/articles/2019/11/pulling-data-not-pushing-paper
17,"TB, Central, New Ireland, Southern Highlands, Port Moresby General Hospital, the “Genexpert, Businesses for Health, DRTB",https://www.pngbusinessnews.com/articles/2019/11/joan-vidi-workplace-change-and-drug-resistant-tb
18,"the Stanley Hotel & Suites, Port Moresby, Budget, Porgera, Papua LNG",https://www.pngbusinessnews.com/articles/2019/12/mining-petroleum-conference-kicks-off
19,"US, the ‘Final Pitch, Panama City, the Omidyar Network, McLaren, a Bachelor’s Degree in Geographic Information Science, GIS, the Surveying & Land Studies, the University of Technology, Butibam Progress Incorporated, Butibam village, Sydney, the Ward 2, Ahi Rural LLG, Drone Data & AI Tools, Drone & Data Ethics, Government, Africa, Asia, Latin America, Flying Labs, Port Moresby, The PNG Flying Labs, Australia, the IBS University, Central Province, Geographic Information Systems",https://www.pngbusinessnews.com/articles/2019/12/local-lad-among-final-nine-finalists-in-global-drone-competition
20,"PNG Cancer Foundation, Media Playground Agency, Bank of Papua New Guinea, UK, Jimmy, Kalimat Studios, CHM, Ride My Lane, Apple Music, Fiji, BDMNKA, Heartache, Australia, Pacific Reggae, Graphic Design, the Milne Bay Association, passion""Mark, Mojo Social, Kokopo, East New Britain Province, Townsville, Tabubil, the Star Mountains, the North Fly District, Cinematographers, Jimmy, Mark, Papua New Guineans",https://www.pngbusinessnews.com/articles/2019/12/young-entrepreneurs-of-port-moresby
21,"the Oil and Gas Act, parliament, LLG, Highlands, Parliament, the Public Finance Management Act, Waigani, https://postcourier.com.pg/pm-puts-forward-amended-oil-and-gas-bill-on-development-levies/ | Post Courier",https://www.pngbusinessnews.com/articles/2019/12/pm-puts-forward-amended-oil-and-gas-bill-on-development-levies
22,"Pikku, Alaska, the PNG Mining and Petroleum Conference, Port Moresby, LNG, the Kumul Marine Terminal, Papua LNG, Gulf of Papua, Pikka",https://www.pngbusinessnews.com/articles/2019/12/oil-search-set-to-double-production-in-next-six-years
23,"Papua, New Guinea’s, LNG, Asia-Pacific region, Kumul Petroleum Holdings, Oxford Business Group’s, Global Platform, PNG, OBG, Port Moresby, PR, Video Content, Sonk",https://www.pngbusinessnews.com/articles/2019/12/png-eyes-broader-use-of-gas
24,"the LNG Japan Corporation, Papua New Guinea, the Petroleum Sector, Papua New Guineans, the National Government, Kumul Petroleum Holdings Ltd, KPHL, Commerce and Industry, Duma, Kikori, Gulf Province, a Special Economic Zone, Indonesia, Sojitz Corporation, Sumitomo Corporation, LNG Industry, JX Nippon Oil and Gas Exploration Corporation, Marubeni Corporation, the Papua LNG Project",https://www.pngbusinessnews.com/articles/2019/12/pm-marape-welcomes-lng-japanese-corporation
25,"the Gulf of Papua Pasca, Twinza Oil and Gas, Kowa, https://postcourier.com.pg/200-companies-show-interest-in-pasca-a-gas-project/ | Post Courier",https://www.pngbusinessnews.com/articles/2019/12/200-companies-show-interest-in-pasca-a-gas-project
