,title,date,url,news
0,Govt’s decision to give elected officials power to control funds angers PNG bureaucrats,2023-12-21,https://www.rnz.co.nz/international/pacific-news/505201/govt-s-decision-to-give-elected-officials-power-to-control-funds-angers-png-bureaucrats,True
1,Solar dryers for Sepik vanilla farmers,2023-12-19,https://www.rnz.co.nz/international/pacific-news/505096/solar-dryers-for-sepik-vanilla-farmers,True
2,Marape says reopening of Porgera mine 'worth the effort',2023-12-15,https://www.rnz.co.nz/international/pacific-news/504837/marape-says-reopening-of-porgera-mine-worth-the-effort,True
3,Melanesian Update for 14 December 2023,2023-12-14,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919600/melanesian-update-for-14-december-2023,False
4,Melanesian Update for 12 December 2023,2023-12-12,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018919254/melanesian-update-for-12-december-2023,False
5,"After months of setbacks and delays, Porgera mine set to begin operations next week",2023-12-12,https://www.rnz.co.nz/international/pacific-news/504540/after-months-of-setbacks-and-delays-porgera-mine-set-to-begin-operations-next-week,True
6,"Survivor says gender-based violence ‘is a pandemic', calls on Pacific govts to act",2023-12-09,https://www.rnz.co.nz/international/pacific-news/504305/survivor-says-gender-based-violence-is-a-pandemic-calls-on-pacific-govts-to-act,True
7,Melanesian Update for 7 December 2023,2023-12-07,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918608/melanesian-update-for-7-december-2023,False
8,Australia signs security agreement with Papua New Guinea,2023-12-07,https://www.rnz.co.nz/international/pacific-news/504165/australia-signs-security-agreement-with-papua-new-guinea,True
9,Fears PNG province again keen to embrace seabed mining,2023-12-07,https://www.rnz.co.nz/international/pacific-news/504163/fears-png-province-again-keen-to-embrace-seabed-mining,True
10,Papua New Guinea facing horror levels of HIV infections,2023-12-06,https://www.rnz.co.nz/international/pacific-news/504042/papua-new-guinea-facing-horror-levels-of-hiv-infections,True
11,PNG begins battle to rein in resurging AIDS infections,2023-12-06,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018918274/png-begins-battle-to-rein-in-resurging-aids-infections,False
12,Melanesian Update for 5 December 2023,2023-12-05,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018918280/melanesian-update-for-5-december-2023,False
13,Australia and Papua New Guinea poised to sign major bilateral security agreement,2023-12-05,https://www.rnz.co.nz/international/pacific-news/503948/australia-and-papua-new-guinea-poised-to-sign-major-bilateral-security-agreement,True
14,Melanesian Update for 30 November 2023,2023-11-30,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917604/melanesian-update-for-30-november-2023,False
15,Students paying teachers' wages after a PNG govt fail,2023-11-30,https://www.rnz.co.nz/international/pacific-news/503582/students-paying-teachers-wages-after-a-png-govt-fail,True
16,'Higher incomes and more jobs': PNG's Treasurer announces US$7b budget,2023-11-29,https://www.rnz.co.nz/international/pacific-news/503532/higher-incomes-and-more-jobs-png-s-treasurer-announces-us-7b-budget,True
17,PNG environmentalist very happy with new marine reserve,2023-11-29,https://www.rnz.co.nz/international/pacific-news/503451/png-environmentalist-very-happy-with-new-marine-reserve,True
18,Melanesian Update for 28 November 2023,2023-11-28,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018917271/melanesian-update-for-28-november-2023,False
19,Melanesian Update for 23 November 2023,2023-11-23,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916659/melanesian-update-for-23-november-2023,False
20,Thousands evacuated in Papua New Guinea after Mt Ulawun erupts,2023-11-23,https://www.rnz.co.nz/international/pacific-news/503071/thousands-evacuated-in-papua-new-guinea-after-mt-ulawun-erupts,True
21,Melanesian Update for 22 November 2023,2023-11-22,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018916486/melanesian-update-for-22-november-2023,False
22,Concerns for violence grow in Enga as four dead in Lagaip by-election,2023-11-17,https://www.rnz.co.nz/international/pacific-news/502650/concerns-for-violence-grow-in-enga-as-four-dead-in-lagaip-by-election,True
23,Eviction fear: PNG govt put on notice to pay up ‘outstanding fees' for Manus Island refugees,2023-11-17,https://www.rnz.co.nz/international/pacific-news/502642/eviction-fear-png-govt-put-on-notice-to-pay-up-outstanding-fees-for-manus-island-refugees,True
24,Melanesian Update for 14 November 2023,2023-11-14,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915358/melanesian-update-for-14-november-2023,False
25,Pacific Games 2023: PNG govt urged to release funding promised to athletes,2023-11-13,https://www.rnz.co.nz/international/pacific-news/502285/pacific-games-2023-png-govt-urged-to-release-funding-promised-to-athletes,True
26,Melanesian Update for 13 November 2023,2023-11-13,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018915196/melanesian-update-for-13-november-2023,False
27,PNG govt trying to settle outstanding UN membership fees,2023-11-06,https://www.rnz.co.nz/international/pacific-news/501811/png-govt-trying-to-settle-outstanding-un-membership-fees,True
28,Melanesian Update for 3 November 2023,2023-11-03,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018913959/melanesian-update-for-3-november-2023,False
29,PNG churches not keen to take on more govt services,2023-11-03,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018913775/png-churches-not-keen-to-take-on-more-govt-services,False
30,Melanesian Update for 2 November 2023,2023-11-02,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018913783/melanesian-update-for-2-november-2023,False
31,PNG churches not interested in taking over ‘entire government functions' - commentator,2023-11-01,https://www.rnz.co.nz/international/pacific-news/501457/png-churches-not-interested-in-taking-over-entire-government-functions-commentator,True
32,"'An open secret': Papua New Guinea's gun problem 'difficult' to solve, journalist says",2023-10-30,https://www.rnz.co.nz/international/pacific-news/501292/an-open-secret-papua-new-guinea-s-gun-problem-difficult-to-solve-journalist-says,True
33,HIV infections increase by 91% in three years in Papua New Guinea - non-profit,2023-10-27,https://www.rnz.co.nz/international/pacific-news/501096/hiv-infections-increase-by-91-percent-in-three-years-in-papua-new-guinea-non-profit,True
34,Churches to receive money from PNG state companies,2023-10-25,https://www.rnz.co.nz/international/pacific-news/500960/churches-to-receive-money-from-png-state-companies,True
35,Hungary's president visits Papua New Guinea,2023-10-25,https://www.rnz.co.nz/international/pacific-news/500939/hungary-s-president-visits-papua-new-guinea,True
36,Melanesian Update for 24 October 2023,2023-10-24,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018912438/melanesian-update-for-24-october-2023,False
37,Port Moresby to host world indigenous business forum,2023-10-23,https://www.rnz.co.nz/international/pacific-news/500825/port-moresby-to-host-world-indigenous-business-forum,True
38,PNG's population growth to present challenges,2023-10-23,https://www.rnz.co.nz/international/pacific-news/500814/png-s-population-growth-to-present-challenges,True
39,PNG-China common currency on the agenda in Beijing,2023-10-20,https://www.rnz.co.nz/international/pacific-news/500608/png-china-common-currency-on-the-agenda-in-beijing,True
40,Threat of fuel shortage looms for Papua New Guineans,2023-10-19,https://www.rnz.co.nz/international/pacific-news/500558/threat-of-fuel-shortage-looms-for-papua-new-guineans,True
41,Porgera goldmine opening delayed again,2023-10-18,https://www.rnz.co.nz/international/pacific-news/500451/porgera-goldmine-opening-delayed-again,True
42,PM James Marape in Beijing to strengthen Papua New Guinea-China ties,2023-10-17,https://www.rnz.co.nz/international/pacific-news/500374/pm-james-marape-in-beijing-to-strengthen-papua-new-guinea-china-ties,True
43,Melanesian Update for 16 October 2023,2023-10-16,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018911380/melanesian-update-for-16-october-2023,False
44,"Violence against women and girls 'increasing' in Papua New Guinea, MP says",2023-10-14,https://www.rnz.co.nz/international/pacific-news/499989/violence-against-women-and-girls-increasing-in-papua-new-guinea-mp-says,True
45,'They've got no rights': Refugee advocate prods Australia over Manus Island debacle,2023-10-13,https://www.rnz.co.nz/international/pacific-news/500069/they-ve-got-no-rights-refugee-advocate-prods-australia-over-manus-island-debacle,True
46,PNG watchdog says much more to do after Paul Paraka jailed,2023-10-13,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018910880/png-watchdog-says-much-more-to-do-after-paul-paraka-jailed,False
47,PNG's PM wants foreign police officers in leadership roles,2023-10-13,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018910878/png-s-pm-wants-foreign-police-officers-in-leadership-roles,False
