,url,title,date
0,https://www.postcourier.com.pg/law-students-go-to-court-training-2/,Law students go to court training,"July 13, 2023"
1,https://www.postcourier.com.pg/mou-signed-to-promote-quality-nurse-training-in-esp-2/,MOU signed to promote quality nurse training in ESP,"July 13, 2023"
2,https://www.postcourier.com.pg/pm-backs-icac-set-up-2/,PM backs ICAC set up,"July 13, 2023"
3,https://www.postcourier.com.pg/22kg-marijuana-bust/,22kg marijuana bust,"July 13, 2023"
4,https://www.postcourier.com.pg/fresh-vegetables-galore-at-mt-hagen-market/,Fresh vegetables galore at Mt Hagen market,"July 13, 2023"
5,https://www.postcourier.com.pg/cocoa-freight-pact-helps-rural-growers/,Cocoa freight pact helps rural growers,"July 13, 2023"
6,https://www.postcourier.com.pg/kinavai-opens-mask-festival/,Kinavai opens mask festival,"July 13, 2023"
7,https://www.postcourier.com.pg/remote-villagers-undertake-health-first-aid-training/,"Remote villagers undertake health, first aid training","July 12, 2023"
8,https://www.postcourier.com.pg/enb-police-on21-day-operation/,ENB police on 21-day operation,"July 12, 2023"
9,https://www.postcourier.com.pg/dwu-host-entrepreneurship-training/,DWU host entrepreneurship training,"July 12, 2023"
10,https://www.postcourier.com.pg/enga-festival-to-showcase-sacred-dying-ritual-and-salt-making/,Enga festival to showcase sacred dying ritual and salt making,"July 19, 2023"
11,https://www.postcourier.com.pg/workplaces-have-key-role-to-play-with-gbv/,Workplaces have key role to play with GBV,"July 19, 2023"
12,https://www.postcourier.com.pg/nursing-students-hold-awareness-on-healthy-living/,Nursing students hold awareness on healthy living,"July 19, 2023"
13,https://www.postcourier.com.pg/french-celebrate-bastille-day-in-pom/,French celebrate Bastille Day in POM,"July 19, 2023"
14,https://www.postcourier.com.pg/nato-headingto-our-region/,NATO heading to our region,"July 19, 2023"
15,https://www.postcourier.com.pg/from-png-women-of-victoria-with-love/,From PNG women of Victoria with love,"July 18, 2023"
16,https://www.postcourier.com.pg/sepik-masks-artefacts-at-festival/,"Sepik masks, artefacts at festival","July 18, 2023"
17,https://www.postcourier.com.pg/11-missing-at-sea-in-banana-boat/,11 missing at sea in banana boat,"July 18, 2023"
18,https://www.postcourier.com.pg/a-young-mans-search-for-a-job/,A young man’s search for a job,"July 18, 2023"
19,https://www.postcourier.com.pg/western-highlands-is-top-sme-province/,Western Highlands is top SME province,"July 18, 2023"
20,https://www.postcourier.com.pg/polye-strives-for-quality-outcome/,Polye strives for quality outcome,"July 25, 2023"
21,https://www.postcourier.com.pg/ehp-plans-to-update-population/,EHP plans to update population,"July 25, 2023"
22,https://www.postcourier.com.pg/1000-reading-glasses-given-out-to-people/,1000 reading glasses given out to people,"July 21, 2023"
23,https://www.postcourier.com.pg/mt-hagen-police-open-repaired-cells/,Mt Hagen police open repaired cells,"July 21, 2023"
24,https://www.postcourier.com.pg/mat-hosts-2023-youth-arts-program/,MAT hosts 2023 youth arts program,"July 21, 2023"
25,https://www.postcourier.com.pg/enb-takes-on-ict-revolution/,ENB takes on ICT revolution,"July 20, 2023"
26,https://www.postcourier.com.pg/digital-workshop-for-ngi-region/,Digital workshop for NGI region,"July 20, 2023"
27,https://www.postcourier.com.pg/tension-high-after-kundiawa-clash/,Tension high after Kundiawa clash,"July 20, 2023"
28,https://www.postcourier.com.pg/qld-charity-helps-hospitals-schools/,"Qld charity helps hospitals, schools","July 19, 2023"
29,https://www.postcourier.com.pg/disaster-alert-as-mt-bagana-erupts/,Disaster alert as Mt Bagana erupts,"July 19, 2023"
30,https://www.postcourier.com.pg/sir-j-toroama-visit-spurs-autonomy-push/,Sir J: Toroama visit spurs autonomy push,"July 28, 2023"
31,https://www.postcourier.com.pg/uogs-temporary-accommodation-costly/,UOG’s temporary accommodation costly,"July 28, 2023"
32,https://www.postcourier.com.pg/hauleneme-primary-gets-new-double-classrooms/,Hauleneme Primary gets new double classrooms,"July 28, 2023"
33,https://www.postcourier.com.pg/new-double-classroom-launched-for-st-francis-seim-hamtaba-primary/,New Double Classroom Launched for St. Francis Seim Hamtaba Primary,"July 28, 2023"
34,https://www.postcourier.com.pg/laup-villagers-get-tree-seedlings-to-plant/,Laup villagers get tree seedlings to plant,"July 27, 2023"
35,https://www.postcourier.com.pg/rangers-keep-city-clean-tidy/,"Rangers keep city clean, tidy","July 27, 2023"
36,https://www.postcourier.com.pg/ehp-monitoring-committeemeets-for-first-time/,EHP monitoring committeemeets for first time,"July 27, 2023"
37,https://www.postcourier.com.pg/427180-2/,Settlers sign peace accord,"July 25, 2023"
38,https://www.postcourier.com.pg/jica-helps-with-long-term-planst/,JICA helps with long-term planst,"July 25, 2023"
39,https://www.postcourier.com.pg/students-lead-marchfor-peace/,Students lead march for peace,"July 25, 2023"
40,https://www.postcourier.com.pg/enga-to-work-onearly-learningsir-peter/,Enga to work on early learning: Sir Peter,"July 12, 2023"
41,https://www.postcourier.com.pg/plan-fisheries-a-major-revenue-earner/,Plan: Fisheries a major revenue earner,"July 12, 2023"
42,https://www.postcourier.com.pg/sda-youths-in-goroka-launch-png-for-christ-campaign/,SDA youths in Goroka launch PNG For Christ campaign,"July 12, 2023"
43,https://www.postcourier.com.pg/nuguria-fead-island-is-sinking/,Nuguria (Fead) Island is sinking,"July 11, 2023"
44,https://www.postcourier.com.pg/adventists-give-k546000-to-fund-png-4-christ/,"Adventists give K546,000 to fund ‘PNG 4 Christ’","July 11, 2023"
45,https://www.postcourier.com.pg/tourism-art-and-culture-ministry-finds-new-home/,"Tourism, Art and Culture Ministry finds new home","July 11, 2023"
46,https://www.postcourier.com.pg/police-appeal-for-peace-as-petition-cases-come-up/,Police appeal for peace as petition cases come up,"July 10, 2023"
47,https://www.postcourier.com.pg/ppc-jiwaka-needs-a-jail/,PPC: Jiwaka needs a jail,"July 10, 2023"
48,https://www.postcourier.com.pg/whdc-shares-soldby-directors-rapa/,WHDC shares soldby directors: Rapa,"July 10, 2023"
49,https://www.postcourier.com.pg/drive-to-build-st-augustine-church/,Drive to build St Augustine church,"July 10, 2023"
50,https://www.postcourier.com.pg/plan-to-connect-three-llgs-in-ijivitari/,Plan to connect three LLGs in Ijivitari,"July 10, 2023"
51,https://www.postcourier.com.pg/iogi-villagers-to-access-clean-water/,Iogi villagers to access clean water,"July 10, 2023"
52,https://www.postcourier.com.pg/mid-year-performance-on-review-for-pmgh/,Mid-year performance on review for PMGH,"July 10, 2023"
