date,ym,mongolia_ub_post_body_count,mongolia_ub_post_epu_count,mongolia_ub_post_ratio,news_total,mongolia_ub_post_weights,mongolia_ub_post_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2016-10-01,2016-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2016-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-01-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-02-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-03-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-04-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-05-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-06-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-07-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-09-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-10-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-11-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-01-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-02-01,2018-2,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-05-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-06-01,2018-6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-09-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2018-10-01,2018-10,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,14.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
