,url,date,title,news
0,https://vbr.vu/news/another-flour-shortage-in-the-capital/,2022-06-10 23:00:00,Another flour shortage in the capital,"By Josepheen Tarianga.Many bakeries have cut down on bread production and have ceased to deliver to businesses as another flour shortage hits the capital.There have been three dire flour shortages now, two in late 2021 and now this shortage is affecting bakeries, said the Manager of Shefa Bakery, Galini Jean Louis.Galini stated that Shefa bakery has had a decline in production as well as flour supply. Where there used to be about 10,000 loaves made a day, there is now only 5000-6000 loaves made. Their flour supplier, Chuan Store delivers only 20 bags of flour a day now. Prior to the flour shortage, it delivered over 30 bags.“The shortage means we can no longer deliver to businesses that order bread,” he said. “We have maintained orders and deliveries to schools because Shefa prioritises the students at this time.”“We are told that the next flour shipment should be here on 16th of June. We know if it does get here on the 16th, it may take a day or two for us to get it. Presently, there is no guarantee on whether or not our flour stock can last until then.”Brother Bakery emphasises Galini’s statement as the owner’s wife spoke for the business.“We have stopped delivering to businesses and have cut our production because of the shortage,” she said. “We are expecting the next flour shipment soon, but Brother Bakery does not have enough flour in stock to last until the next shipment arrives.”Ah Pow Bakery, on the other hand, seems confident that it has enough flour in stock to last the waiting period until the next shipment.“Ah Pow is operating as normal, there is flour in stock to last until the next shipment,” stated Wendy Jonas, the Manager of Ah Pow Bakery.Some bakeries have succumbed to the shortage, one of those being La Parisenne which posted a sign on its doors to let its customers know the bakery will be closed from the 7th of June because of the flour shortage and will let customers know when it will reopen.“As the borders are to open soon, there needs to be better planning to ensure shortages like this do not happen when we are catering to the people we invite back,” said Galini. “Bakeries and other businesses cannot operate with shortages.”"
1,https://vbr.vu/news/better-homes-more-productive-workers/,2022-05-28 23:50:00,"Better homes, more productive workers","Titan FX has entered into a partnership with the National Bank of Vanuatu (NBV) to establish a Housing Support Program for its local employees.As Vanuatu’s leading fintech company, Titan FX strives to provide its team members with a work environment that allows them to profit fully from their talents, further develop their skills, and achieve a deeper kind of fulfillment from work.With the new Housing Support Program, that commitment to helping staff flourish extends to the homes in which they live and raise their families.Financing better futuresTitan FX employees will now have easier access to bank finance as well as preferred interest rates – backed by the company – when the time comes to secure financing for property purchases, new construction, or home improvement projects. The financing assistance will help staff ensure their lodging conditions meet the highest health and safety standards, where they can raise happy, healthy families for years to come.The quality of housing is a serious issue in Vanuatu as it has achieved the dubious distinction of ranking #1 on the 2020 World Risk Index, as evidenced by the two Category 5 cyclones that have pummeled the archipelago in just the last five years.However, a lack of supply coupled with financing difficulties has long forced many residents of Port Vila to live in crowded and unsafe conditions. Titan FX hopes that the Housing Support Program will help address a part of that problem, and also inspire other organizations to do the same. Not only does this type of initiative improve worker health and safety at home, but it goes a long way to boosting team morale and strengthening business resiliency.To learn more about this and other Titan FX’s community initiatives, including those supporting education, health, business, sports, and civic life, visit titanfx.com/vu"
2,https://vbr.vu/news/port-vila-returning-to-normal/,2022-05-23 23:43:00,Port Vila returning to normal,"By Len Garae.In the same way that the world has been gripped by the deadly impact of the Coronavirus for which the President of America, Joe Biden, paid respect for the total loss of one million American deaths last week, Vanuatu “the happiest place on earth” has also experienced a total lockdown and as is for the crisis to be lifted on July 1, you can feel it that people are already beginning to live the spirit of economic revival.One day last month, I was sent to the back of Port Vila Market House to “enter” through the gate to get my hands sprayed with sanitiser to allow me to buy greens for my family.I went back again yesterday and walked in. Everybody walked with no restrictions now that the country is down to Level 1.All the tables in the Restaurant Wing of the Market were almost full at midday. Certainly, the tide is turning for the better as almost every one I see are not wearing any mask.While I have not heard the thumb up from the Ministry of Health to unmask, the general observation is that the country is returning to normal soon.Obviously, job creation is returning with businesses reopening to allow those who have stopped work to return to work soon.Looking into a somewhat windy Vila Harbour, it is clear that the dancing waves are also missing both local and international sea traffic while waiting for July 1st to arrive.The Caribbean Royal Cruise has promised to work with Vanuatu Authorities to pave the way to reopen the visits for the tourist liners to arrive with their most missed passengers again.All the hotels and restaurants and taxi parks are empty without our international visitors.But the signs are in place as you walk along the Seafront as far as Fatumaru Bay, to know that Port Vila is ready to welcome back the tourists.Someone said, “The beauty about being ni Vanuatu is that you smile not because of a fat wallet or purse full of cash but, because it feels good to smile with cash or no cash”.Well, the day is coming on July 1 when the economic wind is bound to fan the positive revival of economic prosperity for the people and the country."
3,https://vbr.vu/news/over-200-locals-engaged-in-vt4-billion-vmf-project/,2022-05-27 23:14:00,Over 200 locals engaged in VT4 Billion VMF Project,"By Hilaire Bule.The Cook and Tiroas Barracks Redevelopment project reflects the growing relationship between Vanuatu and Australia.Prime Minister Bob Loughman, who made the above comment, said the project valued at over VT4 billion is also assisting to upskill over 200 locals who are currently working on the site under Australian construction companies Icon and Reeves International, the head contractor for the project.PM Loughman believes once the project is completed, they will go in the field with new skills.Providing opportunities to upskill local workers is a key priority of the project. To date, this has included 392 local contractors completing the Construction Safety Induction Certificate at Australia Pacific Training Coalition (APTC), two local contractors completed the Cert III Plumbing course at VIT, two local contractor completed Cert III Carpentry Course at APTC, and 13 local contractors attending the Team Leader Skill Set course at APTC.The project is also working closely with Department of Labour to identify opportunities for returning labour mobility workers with suitable skills to join the Cook and Tiroas Barracks Redevelopment workforce.The PM lauded the large-scale infrastructure project delivering enhanced facilities to support the Vanuatu Police Force’s growth and capability development.“I believe that we have skilled people in the VMF,” Loughman said.He also praised the VMF officers for their hard work in all situations.Loughman said the project is expected to open next year, after the handing over by the Australian Government to the Vanuatu Government. The PM acknowledged donor partners for their assistance to the country’s development.Deputy Prime Minister Ishmael Kalsakau described the redevelopment project as a “massive and fantastic development”.He acknowledged Icon-Reeves and local construction companies for using local materials.Acting VMF Commander, Major Astrophile Merle, said the redeveloping project will look like a “small Heaven” once it is completed.The Australian High Commissioner, Heidi Bootle, said so far over VT1.1 billion has been spent on the construction works. She said the project will strengthen the security partnership.The construction begun in February this year. Currently, works are underway on new family accommodations, a new Chapel, guard house, medical facility and band hut, the new vehicle and Engineer workshop, Armoury and Magazine.At Tiroas Barracks in Luganville, the construction works is expected to be completed at the end of this year. Progress to date include ongoing earthworks and in-ground services for the site, as well as preparation to commence construction for the Medical Facility, Armoury and Magazine."
4,https://vbr.vu/news/vodafone-to-provide-internet-to-usp-nuv-soe/,2022-05-28 23:42:00,"Vodafone to provide internet to USP, NUV, SOE","Vodafone now replaces Interchange Ltd in providing internet connectivity to the University of the South Pacific (USP), National University of Vanuatu (NUV) and the School of Education (SOE).An agreement has recently been signed between the Ministry of Education and Training (MOET) and the Vodafone Ltd to formalise this.Vodafone will be providing internet connectivity to these tertiary institutions for a period of five months at VT9.8 million.Interchange Ltd has assured connectivity via the interchange sub-sea cable to the institutions until its contract lapsed early this year.Vodafone has provided an attractive offer to the MOET to ensure internet connectivity for these institutions, via sub-sea cable and as well as a backup satellite dish in cases of connectivity issues.The purpose of the agreement is also to expand the connectivity to nearby schools, making use of low cost of connectivity.Vodafone Chief Executive Officer, Barlen Lutchmoodoo, has assured the MOET that what they will provide, is more competitive and attractive in terms of finance, emergency, and is materially fully equipped.He said that they will use the sub-sea cable to run the connectivity, and if the country is facing other challenges, Vodafone is equipped with the satellite dish to supplement the sub-sea cable.Director General of the MOET, Iati Bergmans, acknowledged Vodafone for the internet services they will provide to all concerned institutions.He said the Ministry looks forward to future collaborations, especially in providing internet access for remote schools."
5,https://vbr.vu/news/eu-to-assist-vanuatu-out-of-suspension/,2022-05-27 23:08:00,EU TO ASSIST VANUATU OUT OF SUSPENSION,"By Mavuku Tokona.A European Official under the Council of the European Union (EU) has confirmed that Vanuatu is the only country in the Pacific that has had its visa agreement with Schengen countries partially suspended.“The only suspension in place regarding visa liberalisation is that of Vanuatu,” the EU Official said.While this unfortunate honour has only been implemented for Vanuatu, the EU is also working to have this suspension removed.“The European Commission is engaged in a dialogue with Vanuatu in order to find a solution.”The reason behind the suspension was centred around Vanuatu’s passport scheme and how the EU was dissatisfied on how Port Vila was operating this scheme.While the Chairman of the Citizenship Commission remains silent, Brussels has responded by emphasizing that only when Vanuatu has strengthened its policies on passport sales will the suspension be lifted.“As stated in the text of the decision, should the reasons for the suspension cease to exist, the Contracting Party that has suspended the application of the Agreement is to inform the other Contracting Party immediately and is to lift the suspension.“In practical terms, on the EU side this would mean that the European Commission would need to assess that the conditions have been met and present a new proposal to the Council of the EU.”"
6,https://vbr.vu/news/call-for-nationwide-consultation-on-proposed-severance-pay-increase-for-private-sector/,2022-05-28 00:05:00,Call for nationwide consultation on proposed severance pay increase for private sector,"By Jason Abel.Vanuatu Chamber of Commerce (VCCI) President, Antoine Boudier, believes a nationwide consultation on the proposed increase of private sector severance payments to two months is significant.Mr. Boudier commented that with the Government’s proposal still in discussion, he believes that a national consultation will definitely assist the government’s decision. He added that it would help everyone to see the benefits and negative aspects.Discussions into it should be addressed in steps for an essential roadmap.Mr. Boudier stated that taking such rapid decision can have side effects.The question is, ‘will there be sustainability?’ Regarding sustainability, there are several reasons that could affect businesses within both the formal and the informal sector, if such laws were gazetted.Mr. Boudier stated that they believe the government has a vision and it is best to share this vision. However, there is great concern within the private sector.He commented that while the private sector tries to improve the lives of its workers, it must improve sustainability as well. Today, there is no sustainability.“COVID-19 has affected our economy, however with the economic crisis at hand, it is a big challenge,” Boudier said.“It will affect everyone throughout the country. Severance payment will affect all citizens.“This could lead to more unemployment also.”The VCCI President stated that what the private sector is doing in Vanuatu is building capacity for the citizens.“What a company guarantees in business is assurance for its workers to be present in work and not leave immediately,” he said. “With the new proposal, we don’t know where we are heading to.”He added that a new business can face difficulties when it has to pay severance for workers annually. On top of that, this could see employees leaving out staff due to the severance demand.According to Mr. Boudier, this will see employers working for just one year and once they receive severance payment, they can stop working and there is no continuity.“If severance payment is addressed annually, this could see a company training an employer for only one year and receiving his severance will be a loss for the company’s investment towards the employer,” he said.Boudier said the VNPF contribution is likely enough.“Every month you pay VNPF for workers and whenever they leave, you won’t have any outstanding,” he said.“Concerning VNPF, today an employee pays four percent and an employer pays eight percent, adding to 12% for members. VNPF can invest better on that and receive a good return as funds are saved.”The country’s minimum wage is at VT220/hr."
7,https://vbr.vu/news/push-for-a-total-marine-ban-in-port-vila-harbour/,2022-05-24 00:04:00,Push for a total marine ban in Port Vila harbour,"By Anita Roberts.The local business community wants a 20-year marine ban to be imposed at the Port Vila harbour, to protect marine life and conserve ecosystem.The local business community is organizing this year’s Port Vila Day on June 11. The organizing committee is using the event to push for the ban.If this becomes effective, people will not be allowed to take marine life out from the area. This long-term marine conservation initiative will help combat the decline of marine species and will bring tourism benefits.Clerk of the Port Vila City Council (PVCC), Peter Sakita, said marine recreational activities are needed in the Port Vila harbour to attract tourists upon arrival, instead of just having tours around the island.A traditional marine conservation practice and protocols will be performed at Kawenu Beach, where the Port Vila Day event will be held. Cleanup has already begun at the site.Around 100 coastal plants will be planted on a 3km area stretching from the former Yacht Club to the freshwater springs at Cellovila, as part of creating a sustainable conservation and management of the harbour.The City Council and stakeholders will also be launching new business startups, which include over 30 water sports and over 50 unique beach activities.This is part of the preparedness for the first cruise ship arriving in July.The Port Vila Day Program will commence with a parade from Cello Vila. After the flag raising ceremony, a custom ceremony will be performed by the Council to the Paramount Chief of Ifira, Mantoi Paunimanu Kalsakau.The main speech will be given by the Deputy Prime Minister and Minister of Internal Affairs, Ishmael Kalsakau.The unveiling of the Marine Conservation Plaque will be done in the afternoon followed by the marine conservation ceremony, traditional custom dances and a custom ceremony by Ifira’s Paramount Chief.There will be sport activities and presentation of prizes, live entertainment and fireworks to end the event.After many years of showcasing on Port Vila Day, PVMC, as the custodian of the Port Vila City sees appropriate to allow the local business community to host this year’s event.This is part of an approach to partner with the private sector to do development."
8,https://vbr.vu/news/diesel-price-increases-in-2-months/,2022-05-26 22:51:00,Diesel price increases in 2 months,"Vehicle owners, drivers and the public will expect another increase in the price of diesel starting today, Thursday May 26.The price will increase from VT183 per litre to VT217.12 per litre, an increase of VT34.12 per litre in two months.Diesel price increased from VT160 per litre to VT183 per litre on March 13, 2022. The wholesale price of mazut increased to VT129/L and pump prices at VT141 per litre on April last year.The price of petrol at pumps has recently increased from VT173 per litre to VT195 per litre. This was an increase of VT22 per Litre.The constant diesel and petrol price hikes are driven by the Russia-Ukraine conflict and COVID-19 pandemic.The Department of Energy explained this in a statement. “With the continuous rippling effects of COVID-19 and the Russian invasion of Ukraine in February 2022, the demand for oil gives rise to continued ascending prices,” it stated.“The crude oil price hikes are therefore reflected in the downstream side that shows in the imports of diesel in April 2022 into Vanuatu by the petroleum product supplier.“The prices are based on the cost fluctuations of the Means of Plats Singapore (MOPS), the regional pricing benchmark adopted in the downstream oil industry, including other cost components, foreign exchange rate, and other charges.”"
9,https://vbr.vu/news/titan-fx-a-gold-sponsor-for-2022-smart-sistas-girls-ict-camp/,2022-06-10 23:03:00,Titan FX a Gold sponsor for 2022 SMART Sistas Girls ICT Camp,"Titan FX is proud to be a GOLD sponsor for the 2022 SMART Sistas Girls ICT Camp, with ten lucky girls aged 9 to 14 taking a deep dive into the exploding world Of Information Communication Technology (ICT) in Lenakel on Tanna Island.Created in 2014, SMART Sistas ICT Camp is an annual five-day camp that empowers girls to pursue educational opportunities in ICT, discover new passions and explore many exciting facets of this fast-growing industry.Five girls from SHEFA province and one girl each from MALAMPA, PENAMA, SANMA, TAFEA, and TORBA provinces will be selected based on their learning skills and familiarity with computers and electronics. They’ll follow the TechRocket.com curriculum, an online course that teaches kids to code and make their own cool apps and games.In addition to 24 hours of technical training in all, 12 hours will be focused on leadership and gender empowerment, and 4 hours on career exploration in telecommunications, broadcasting, computer software and hardware, and digital media.Titan FX’s sponsorship, to the tune of VT150,000, is part of the financial technology company’s ongoing efforts to promote the development of the local ICT talent pool.“For the past eight years SMART Sistas has inspired many promising young girls to emerge in the ICT field, so it’s only natural that a business like ours would want to support this initiative,” said Managing Director Martin St-Hilaire.“If we want to see Vanuatu grow and prosper, we need to diversify our economy, and for that, we need to teach new skills to our youth, especially girls. Who knows, perhaps some of this year’s participants will launch the next big tech start-up in Port Vila a few years down the road.”At the end of the five days, each successful participant will be awarded a Certificate of Completion and will leave the camp with the laptop that was allocated to her at the beginning. This is to ensure that the girls continue to practice the skills learned in the program, on their own time and pace.The SMART Sistas Girls Camp was created in collaboration with U.S. Peace Corps volunteers and staff, ICT Association Professionals (VIGNET), NGOs and a number of other partners.To learn more about Titan FX’s community initiatives, including those in education, health, business, sports, and civic life, visit titanfx.com/vu"
