,LOC,ORG,GPE,WORK_OF_ART,url
0,"Choiseul Bay, Choiseul Bay airfield, the Solomon Islands Provincial Airfields Upgrade Project, the Choiseul Bay","Solomon Airlines, the Choiseul Bay Airfield, Ballalae, Downer New Zealand","Choiseul Province, Taro, Honiara, Nusatupe, Gizo, Seghe, New Zealand, Australia, airstrip",the Governments of Solomon Islands,https://www.solomonstarnews.com/taro-airport-upgrade-steps-up-flights-to-be-suspended/
1,Central Honiara,"THE Honiara City Council, HCC, Central Honiara Constituency, CHC, the Mbokonavera School, Embassy, the Honiara City Council Education Division, the Japanese Embassy, CDO",Solomon Islands,,https://www.solomonstarnews.com/hcc-chc-submit-multipurpose-hall-proposal-to-japanese-govt/
2,,"THE University of the South Pacific Students Association, USPSA-SI, the Ministry of Women, Youth, Children and Family Affairs, MWYCFA, Dr Cedrick Alependava, Human Resources Management, Olea, Dr Cedric Alependava, The Ministry, the Honiara City Council (HCC, Women’s Department, Social Welfare Division, Ministry of Health and Medical Services, the Guadalcanal Provincial Government",Honiara,The Director of the Youth Division Andrea Tipoki,https://www.solomonstarnews.com/uspsa-si-successfully-negotiates-work-placement-initiative-with-mwycfa/
3,Bangladeshi,"Island Nightclub, Guadalcanal, the High Court, Lusibaea, Crown, Bangladeshi, Sexual Intercourse, the Honiara Magistrate Court, CPC","Henderson, Hilux, Lungga",the Long Form Preliminary Inquiry,https://www.solomonstarnews.com/in-court-with-assumpta-41/
4,,"Bunikalo, Russells, Guadalcanal","Bunikalo, Marovo Lagoon, Western Province, Honiara",,https://www.solomonstarnews.com/bad-weather-forces-fair-glory-to-take-refuge/
5,,"Gizo Hospital, Ulutah GinaSolomon Star",Gizo Town,Gizo Town,https://www.solomonstarnews.com/man-attacked-by-stray-dogs-dies/
6,Malaita Provincial,"the Christian Care Centre, the Solomon Islands Red Cross, Auki","Auki, Honiara",,https://www.solomonstarnews.com/homeless-mother-calls-for-support/
7,,"the Western Provincial Capital, ULUTAH GINA",,,https://www.solomonstarnews.com/ferocious-attack/
8,,"the Adventist Church, Kukudu, Health Risk Assessment, NCD","the Western Province, Buri, the Solomon Islands Mission, Honiara, Ranongah District",Associate Health Director at the SIM Office,https://www.solomonstarnews.com/10k-toes-training-in-ranosi/
9,,"the National Government, the Guadalcanal Provincial Government, the Guadalcanal Province Second Appointed Day","Guadalcanal Province’s, Mamara, Northwest Guadalcanal, Aruligo Fisheries, Tilapia",,https://www.solomonstarnews.com/pm-highlights-significance-of-aquaculture/
10,,"Treasury, the TRC Final Report, Parliament, DCGA","Shortland, the Western Province, Solomon Islands",,https://www.solomonstarnews.com/minister-kuma-on-security-support/
11,Koa Hill,"Armed Robbery, Unlawful Wounding, the Honiara City Council-Skyline Bus Stop, the National Referral Hospital",Honiara,,https://www.solomonstarnews.com/bus-stabber-awaits-sentence/
12,"Kennedy Island, the Kennedy Island","Western Provincial Government, WPG, the Western Provincial Government, Patrol Torpedo, Rendova, Opposition, Catholic Youth, the United States Embassy, the US Government, ULUTAH GINA","the Western Province, the United States, Australia, US, New Zealand, China, the United States Patrol Boat, the United States of America, Biuku, Gasa, PT109, Honiara, the Solomon Islands",,https://www.solomonstarnews.com/premier-veo-lauds-us-heroism-as-ambassador-kennedy-pays-tribute-to-father/
13,Malaita,"MNGFR, the Malaita Human Resource Office, the New Malaita Government for Fundamental Redirection, the Malaita Provincial Government Premier’s Office, the Malaita Provincial Assembly Conference, the Fini Government, the Auki Communique, the MARA Government, WILSON SAENI","China, Jiangsu Province, Malaita Province, Malaitan, Guadalcanal Province, Guangdong Province, Solomon Islands Province, Auki",The HRM Office,https://www.solomonstarnews.com/last-minute-mou/
14,Solomon Islands National Broadband Infrastructure Project,"DCGA, National Development Strategy-, the Social and Economic Livelihoods, Guadalcanal to Central and Isabel Provinces, PM Sogavare, the Democratic Coalition Government for Advancement, SINBID, UN, SINBIP, CNY, Sali, OPMC, the Solomon Islands Government","North Guadalcanal, Guadalcanal Province, the People’s Republic of China, The People’s Republic of China, Solomon Islands",,https://www.solomonstarnews.com/161-towers-project-kicked-off/
15,,"East Are’are, The Solomon Islands Meteorological Services","East Kwaio, Solomon Islands",Afio,https://www.solomonstarnews.com/ship-takes-shelter-from-bad-weather/
16,,"Parliament, Northwest Guadalcanal, a Constitutional Assembly, the Imminent Persons Group, People’s Congress, the Constitutional Reform Unit, Stage Government, PM Sogavare, Guard, GP, Hon, the GP Premier Sade, the Truth and Reconciliation Report, OPMC","Mamara, DCGA",,https://www.solomonstarnews.com/parliament-to-consider-bill-to-scrutinize-draft-fed-constitution/
