,LOC,ORG,GPE,WORK_OF_ART,url
0,,"NDMO, the Western Province Disaster Council, Akosawa",,,https://www.solomontimes.com/news/north-vella-constituency-villagers-want-to-relocate/65
1,,"The British High Commission Office, the Media Association of Solomon Islands, MASI, the Pacific Islands News Association, the British Government",Honiara,,https://www.solomontimes.com/news/british-high-commission-funds-economic-workshop/72
2,,the Office of the High,Programme,,https://www.solomontimes.com/news/international-treaties-need-up-to-date-reporting/77
3,,"the Public Prosecutions, the Office of the High Commissioner for Human Rights",,Mr Averre,https://www.solomontimes.com/news/ratification-is-not-enough--averre/76
4,,"the Office of the High Commissioner for Human Rights (OHCHR, the National Human Rights Officer, the Commonwealth Youth Programme, Live and Learn, the Honiara Town council",,,https://www.solomontimes.com/news/un-human-rights-office-organize-public-forum/74
5,,DJ League,"Koloale, Uncles, game""Koloale, Kolale","Uncles FC, Judd Molea",https://www.solomontimes.com/news/uncles-fc-beats-koloale-2--1/69
6,,"The Solomon Islands Government, the European Union, the Ministry of education, National Education Action Plan, the National Education Action Plan, MDG, EU",New Zealand,,https://www.solomontimes.com/news/210-million-grant-for-education-sector/64
7,,"the National Referral Hospital, High Court","Ranandi, Honiara",,https://www.solomontimes.com/news/20-year-old-girl-killed-in-hit-and-run/71
8,,"HIV.very, the central hospital, ignorance",Honiara,,https://www.solomontimes.com/news/hiv-kills-three/68
9,,"Avaiki, the Solomon Islands College of Higher Education, Hammer Heads, Solomon Airlines",,,https://www.solomontimes.com/news/2007-rugby-season-kicks-off/63
10,,"Pacific Islands Forum, the Regional Assistance Mission, The Pacific Islands Forum, Fiji Kaliopate Tavola, Neil Waters, Sogavare","the Solomon Islands, New Zealand's",,https://www.solomontimes.com/news/ramsi-review-underway/59
11,,"The National Sevens Squad, The National Rugby Squad, SICHE, The National Squad",,,https://www.solomontimes.com/news/7s-squad-wins-easter-knockout/56
12,,,Honiara,,https://www.solomontimes.com/news/government-reduces-import-duty/61
13,"Solomon Islands, Pacific","the Foreign Affairs', Asia/Pacific Branch, the Forum World Trade Organization, the Doha Development Round, The European Union, the Forum Secretariat","Geneva, Switzerland",,https://www.solomontimes.com/news/foreign-affairs-assistant-secretary-leaves-for-geneva/54
14,,"the Public Finance and, the Ministry of Infrastructure",,Mr Lilo,https://www.solomontimes.com/news/720000-down-the-drain/62
15,,"Kwara'ae, the Kwara'ae Taki, Sirahi, Tafubala Tribal Association",,,https://www.solomontimes.com/news/kwaraae-customary-laws-may-compliment-constitution/66
16,Solomon Islands,"the World Vision, The World Vision, the US Government, Munda, National Disaster management Office",Choiseul Province,,https://www.solomontimes.com/news/world-vision-receives-donation/55
17,,"the city league, the Honiara Football League, Rangers FC, DJ Graphics",,,https://www.solomontimes.com/news/rangers-fc-returns-to-premier-division/50
18,,,Blues,,https://www.solomontimes.com/news/cbsi-beats-kickaroun-oldies/52
19,,"The Commission of Inquiry, the National Court of Justice, the Commission of Inquiry, Brunton, the University of Papua New Guinea Law Faculty, PNG Law Reform Commission, the Pacific Islands Forum, the Executive Committee, the Solomon Islands Bar Association, Government","Honiara, Papua New Guinea",,https://www.solomontimes.com/news/commission-of-inquiry-into-the-april-2006-riots/58
20,,Tavola,,,https://www.solomontimes.com/news/kaliopate-outlines-forums-review/60
21,"Simbo Island, Islands",Simbo Disaster Committee,Simbo,,https://www.solomontimes.com/news/relocation-of-simbo-villagers-discussed/29
22,Parliamentary,Hon,,Mr Fono,https://www.solomontimes.com/news/politicization-of-disaster-must-stop/28
23,,NZ,"Auckland City, Menapi, New Zealand, Manawatu, New Zealand's","Totori, Maemae and Sale's Manawatu",https://www.solomontimes.com/news/solomon-islands-international--targeted-as-weak-link/51
24,,"Solomon Islands Volleyball Federation, the SIVF, Maitaki, NOCSI, the Easter Volleyball Championship Billy Pelisse, the Solomon Times, the King Solomon Hotel",,,https://www.solomontimes.com/news/sivf-disappointed-over-venue-allocation/53
25,,the National Referral Hospital,,,https://www.solomontimes.com/news/suspect-arrested-and-charged/70
26,,"Choiseul, the National Disaster Council management Office, NDMO, Nusa","Simbo, Choiseul, the Shortland islands",,https://www.solomontimes.com/news/final-death-toll-reaches-52/40
27,,"Gizo, Simbo, The South Seas Evangelical Church, Choiseul, National Disaster Management Office, SSEC, the United Church","Choiseul, New Georgia",,https://www.solomontimes.com/news/church-groups-to-visit-tsunami-victims/31
28,,"Lokopio, Choiseul",,,https://www.solomontimes.com/news/supplies-must-be-distributed-fairly/39
29,,"Cabinet, the National Disaster Council, the Office of the Prime",,Mr Lilo,https://www.solomontimes.com/news/finance-minister-defends-pms-late-visit/35
30,,"Sogavare, Cabinet","Choiseul, Western province",Bible,https://www.solomontimes.com/news/prime-ministers-plea-to-god/36
31,,"Huniehu, Opposition",,Mr Huniehu,https://www.solomontimes.com/news/opposition-supports-integrity-bill/33
32,,"Tsunami, Foreign Affairs","The Republic of Korea, Solomon Islands, Honiara",,https://www.solomontimes.com/news/korea-donates-sbd-500000/37
33,Gizo Island,"Choiseul Provinces, Sogavare",Gizo,,https://www.solomontimes.com/news/sogavare-begins-his-tour/42
34,,the American Georgia Institute of Technology,Simbo Island,,https://www.solomontimes.com/news/ranongga-and-simbo-change-landscape/38
35,,"The Ministry of Health and Medical Services, the Ministry of Health and Medical, Tomasi",Solomon Islands,,https://www.solomontimes.com/news/counselors-trained-to-address-hivaids/32
36,,"The ANZ Banking Corporation, approved""Madeline Mae, ANZ Micro Finance, grow""Mrs Mae",,Mrs Mae,https://www.solomontimes.com/news/anz-microfinance-scheme/43
37,,Committee,Honiara,,https://www.solomontimes.com/news/malaitans-assist-in-rehabilitation-efforts/30
38,,"Areatakiki, Guadalcanal, Red Carpet, The Provincial Police Commander, Central Police Station",Honiara,,https://www.solomontimes.com/news/man-killed-in-broad-daylight/41
39,Western,"the Ministry of Health and Medical Services, UNICEF, Gizo, Simbo, Ranongga","Shortlands, Kolombangara",,https://www.solomontimes.com/news/measles-immunization-given-high-priority/34
40,"Gizo Hill, Simbo Islands","the National Disaster Council, Save the Children Australia, the makeshift hospital, Munda, Don Bosco Technical Institute","Honiara, Choiseul Province, Ranongga",,https://www.solomontimes.com/news/relief-supplies-flown-to-disaster-areas/45
41,Port Moresby,"PNG, Sogavare, Opposition, Hon, the Solomon Islands Government, Executive Government, Huniehu","Papua New Guinea, Solomon Islands",,https://www.solomontimes.com/news/sogavare-should-keep-out-of-pngs-politics-sir-mekere/228
42,,The Church of Nazarene,"Choiseul Province, Western province, Western Province",,https://www.solomontimes.com/news/assessment-team-suggests-relocation/44
43,,"the Forum Secretariat, the Solomon Islands Government, the Fiji's Ministry of Home Affairs, PACNEWS, the Forum Fisheries Agencies","Suva, the Solomon Islands, Honiara",,https://www.solomontimes.com/news/forum-representative-to-solomon-islands-appointed/226
44,,"the United Nations, Choiseul, Simbo","Choiseul Province, Ranongga Island",,https://www.solomontimes.com/news/major-earthquake-and-tsunami-unlikely/46
45,,"Commission, Brunton, SMI, the Commission of Inquiry",Honiara,,https://www.solomontimes.com/news/2006-riots-commission-proceeds-despite-setbacks/229
46,,"the Department of Home Affairs, Committee, The Independence Committee, the Malaita Provincial Government, The National Government",Auki,,https://www.solomontimes.com/news/committee-prepares-for-independence-anniversary/227
47,,the National Radio,Washington DC,,https://www.solomontimes.com/news/deputy-pm-dispels-rumors/225
48,,"the Our Telekom Club Championship, KOSSA, Naka",Koloale,,https://www.solomontimes.com/news/kossa-crowned-club-champions/223
49,,"United Nations Educational, Scientific and Cultural Organization, UNESCO, PINA, the Secretariat of the Media Association of Solomon Islands, MASI, Pacific Islands News Association, the MASI Secretariat",Honiara,,https://www.solomontimes.com/news/unescos-unpaid-bill-upsets-masi-secretariat/224
50,,"The Pacific Islands News Association, Media association of Solomon Islands, the Media Association, MASI",Honiara,,https://www.solomontimes.com/news/pina-news-conference-2007/48
51,North East Choiseul,"Political Party, the People's Alliance Party, PAP, the PAP Parliamentary, Executive",Honiara,,https://www.solomontimes.com/news/pap-to-discuss-position-with-opposition/230
52,,"Honiara, the Solomon Islands Chinese Association, the Taiwan Technical Mission",Gizo,,https://www.solomontimes.com/news/taiwanese-fishing-boat-rescued/49
53,Western,"Cabinet, Sogavare, Government Ministers",,,https://www.solomontimes.com/news/prime-minister-to-tour-disaster-areas/47
54,Western,"National Disaster Management Office, Maka'a, the Asian Development Bank, The National Disaster Management Office, Tsunami, NDMO, SWIM",,,https://www.solomontimes.com/news/tsunami-affected-communities-urged-to-cooperate/208
55,,"KOSSA, the Northern Warriors of Central Province","Iniga, Takahama, Kolale",,https://www.solomontimes.com/news/kossa-upsets-the-mighty-marists/215
56,"Kwaso, the Panatina area","The Police Media Unit, the Liquor Licensing Squad","Uo Creek, Kwaso, Honiara",,https://www.solomontimes.com/news/600-litres-of-kwaso-confiscated-by-police/212
57,"Solomon Islands, Pacific","the Solomon Islands Fisheries Act, the New Zealand Fisheries Act, the Department of Fisheries","New Zealand, Wellington, the Solomon Islands', Exclusive Economic Zone",,https://www.solomontimes.com/news/fishing-agreement-with-new-zealand/216
58,West,"The Solomon Islands Government, the Asian Development Bank, the European Union, ADB, Pacific Department",Choiseul,,https://www.solomontimes.com/news/adb-assists-in-emergency-project/218
59,,"PINA, Pacific, Hughes","them""",,https://www.solomontimes.com/news/medias-builders-of-pacific-economy-hughes/220
60,Northern,"the Northern Warriors of Central Province, KOSSA, Oceania Club Championships","Koloale, Florida Islands, NW",,https://www.solomontimes.com/news/koloale-too-good-for-nothern-warriors/221
61,"Pacific, the Pacific Islands","PINA, the Central Bank of Solomon Islands, Hughes",,,https://www.solomontimes.com/news/growing-inequality-in-the-pacific-a-worry-hughes/219
62,,"Soqosoqo Duavata ni Lewenivanua Party, Sogavare, PNG, the Melanesian Spearhead Group, the Fiji Times","Fiji, Papua New Guinea",,https://www.solomontimes.com/news/we-do-not-need-sir-michaels-help-sdl/222
63,Pacific,"the Pacific Islands Forum Greg Urwin, the Pacific Plan Action Committee",Papua New Guinea,,https://www.solomontimes.com/news/urwin-on-pacific-plan/214
64,Port Moresby,"The University of Papua New Guinea, Sogavare, Pacific Adventist University, PNG","Honiara, Solomon Islands",,https://www.solomontimes.com/news/university-of-papua-new-guinea-to-have-a-honiara-centre/213
65,,"PNG, the Melanesian Spearhead Group"" Sogavare, State, the Pacific Adventist University, PAU","Papua New Guinea, Fiji, Solomon Islands, Melanesian, Oro province, Taiwan, Gerehu, Taurama",,https://www.solomontimes.com/news/sogavare-keen-to-see-somare-return/210
66,,"State, Wesley United Church, Parliament, Solomon","the Western Province, the British Empire",,https://www.solomontimes.com/news/state-funeral-for-the-late-sir-lloyd-today/211
