,inflation,date,application_software,inflation_rate,form,economy,rate,economics,government,system,unemployment,interest,consumer_price_index,calculation,gross_domestic_product,price,formula,consumer,index,gdp_deflator,cost,food,food_prices,staple_food,sugar,purchasing_power,purchasing,purchasing_power_parity,definition,theory,income,exchange_rate,interest_rate,money,"purchasing_power,_llc",value-added_tax,constraint,market,goods,cash,samsung,iphone,trends
0,0,2015-01-01,0,0,51,18,44,33,41,48,0,42,0,43,0,32,20,25,35,0,38,44,0,0,50,0,0,0,30,30,29,71,0,50,0,0,0,36,0,42,77,82,1011
1,0,2015-02-01,0,0,44,31,50,89,48,81,25,56,0,0,0,30,19,49,16,0,47,60,0,0,71,0,0,0,60,70,40,45,0,59,0,0,0,51,43,23,74,64,1245
2,0,2015-03-01,0,0,48,38,59,58,48,98,0,46,0,99,0,32,65,65,20,0,54,73,0,0,64,100,0,0,67,76,54,47,0,43,0,0,0,49,50,37,80,56,1526
3,0,2015-04-01,0,0,34,40,61,50,48,70,35,57,0,54,0,33,59,36,20,0,54,52,0,0,58,0,0,0,71,66,52,71,42,38,0,0,0,71,0,34,80,62,1348
4,0,2015-05-01,50,0,35,53,64,51,38,82,32,50,0,84,0,31,60,24,26,0,55,73,0,0,75,0,0,0,89,60,39,59,0,64,0,0,0,65,25,66,73,58,1481
5,6,2015-06-01,100,0,38,32,54,37,38,84,29,48,0,51,0,30,47,29,29,0,68,64,0,0,55,0,0,0,77,65,47,66,0,48,0,0,0,63,53,47,71,60,1436
6,0,2015-07-01,0,0,35,30,70,41,38,77,32,38,0,36,0,34,44,45,38,0,47,66,0,0,69,0,50,0,68,53,26,65,0,57,0,0,0,65,40,43,69,59,1335
7,3,2015-08-01,0,0,36,33,53,79,35,79,38,49,0,53,0,36,52,87,42,0,64,63,0,0,61,0,0,0,77,65,33,61,0,36,0,100,0,63,54,38,73,74,1537
8,5,2015-09-01,0,0,37,41,71,56,41,83,0,56,0,59,0,39,55,0,27,0,73,63,0,100,76,0,100,0,83,56,34,90,0,49,0,0,0,75,30,51,81,80,1611
9,4,2015-10-01,0,0,39,42,68,45,38,70,36,51,0,78,0,32,58,73,30,0,72,68,0,0,68,0,0,0,90,58,56,74,0,54,0,0,0,69,72,41,73,61,1520
