FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,796.901305352,1930.63013706,1437.52238602,2413.66467967,1839.06899948,2334.42749531,2187.16222714,2253.41481535,1776.91609114,2164.13388024,1807.4640755,1971.51228397,1942.71403315,1424.56656782,1892.03877328,1695.24563393,2268.10980942,1831.75920874,2068.41057737,2180.19803217,2242.11094532,1964.90690576,2060.75392077
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,2552.98861917,3133.66908436,2864.06497859,3234.77971563,3672.34031101,2906.22248648,3185.36088188,3437.93704729,3398.5300487,3964.3882709,3754.4327142,3914.90748687,4246.63368882,4273.56987596,3236.27795329,3611.43266084,3389.66396711,2567.41758395,3403.46375563,2460.78727914,2958.90009475,2948.27404704,4502.29519674
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,1597.79072346,2842.96644219,2931.44055018,2381.61135269,2198.08230298,2805.25514271,2475.85940394,3286.77570088,3138.21508893,3239.20415814,2732.09110515,2993.10636898,3519.00818146,2601.51342113,2435.44026128,1775.26520019,2847.30498511,2595.12416834,2926.6805118,2575.24524911,2726.24008436,2703.8986147,2626.78086419
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,966.377553652,1872.42120274,1520.72248631,1307.61511594,1493.93578167,1965.55274448,1097.62058145,2114.46092952,2097.31843498,2090.76598683,1530.80020602,2145.32301006,2417.72386242,1973.24531801,1481.74304984,954.770358548,2391.24648631,1856.70272419,2062.47699589,1959.74119658,2172.41330864,2117.09684,2378.97010719
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,1382.53038256,2931.37128543,2567.87987964,1901.9285313,1848.22395978,2469.47457224,2029.08017837,2941.24783228,3018.49176082,2676.33484472,2626.98254972,2808.11673511,3234.61707904,2480.12497608,1559.08571164,1621.64284191,2688.3231951,2530.36700667,2811.40029627,2376.0554052,2494.6436562,2574.74291995,2668.01704467
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,1576.16575703,2548.39625401,2762.73559263,2053.3428138,2033.73464572,2415.55065618,2264.15980737,3190.83460958,3024.57302844,3276.7433069,2442.4658681,3104.84730434,3746.1965818,2575.6168524,2064.17708787,1636.93146271,2814.84032915,2389.96092263,2792.42259102,2362.84203626,2481.26994348,2722.76892208,2912.84410153
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,2771.62928117,3423.74467703,4526.46291874,4189.12895827,3713.15823797,3918.41935057,3439.51674862,3576.97348803,3692.05641943,3878.50670137,3627.21296079,3998.84856409,3205.20135126,3377.00551984,3809.86705954,2983.12118939,2700.21364155,3143.84996946,3411.89625477,3505.49463383,3006.39214511,3258.75906126,3223.95796168
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,2532.65616967,5592.857793,4900.31305616,4414.03652936,4191.95241237,5806.4100771,4954.61391814,4308.54289523,5151.13060305,5083.16239191,3869.24269636,4960.18787008,4560.18219443,4030.89048648,4413.1184791,4065.99618247,3419.07014777,4690.84314745,4184.96153298,5146.01395179,4676.98841597,5403.15835462,5644.99433536
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,2702.99622506,4180.92015195,3469.53434615,3632.73007128,3262.1584595,3687.7861141,3221.79757145,4190.22093047,3101.91761563,2682.49030461,2737.19433457,4059.74705694,3338.59464978,3204.54569553,3653.41803902,3001.16805329,2609.74163666,3222.87679029,3868.79364852,3249.30973225,3263.66523026,3289.47895702,4243.76423029
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,2500.43475182,2954.99221468,4216.52781111,4212.01150342,3482.59596468,3658.06143863,3267.54365407,3902.90436427,2792.48445705,3661.97199648,2713.56416771,5328.01700266,3797.03745385,2862.90732552,3763.92665284,2680.90330616,2265.12219389,3785.50412584,3381.78703108,2399.51760286,2750.2465799,2916.00178527,2807.71872683
