FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,269.955810547,1579.08642578,896.091003418,1893.95446777,1147.37585449,1483.93334961,1739.45922852,1260.85070801,855.878479004,1092.61108398,1150.171875,619.936645508,1293.28881836,851.108520508,1119.60180664,1411.68835449,1944.2890625,1348.02636719,704.66784668,1202.64074707,1148.45458984,637.711669922,709.594909668
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,2451.18432617,3101.08544922,2810.84619141,3217.83129883,3662.40478516,2854.22705078,3119.18066406,3344.52929688,3363.51147461,3945.14453125,3630.56762695,3910.2956543,4182.43554688,4173.40576172,3101.69580078,3608.47875977,3346.27612305,2553.24169922,3288.26904297,2400.85571289,2881.84277344,2918.92993164,4444.23779297
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,1023.90045166,1395.37219238,1430.1809082,1312.52685547,1458.15136719,1650.94165039,1190.67871094,2016.8494873,1959.13000488,2015.60241699,1149.43615723,2003.46630859,2504.40429688,1971.41381836,1269.92297363,893.627075195,1941.18554688,1740.40356445,1815.64331055,1707.34350586,1984.05664062,1891.90759277,2172.15429688
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,606.835571289,1337.64697266,1058.85925293,1014.71966553,1165.69921875,1166.97607422,697.469116211,1632.94958496,1577.11450195,1573.35803223,1082.19934082,1710.03076172,1982.87658691,1471.59777832,1017.10205078,652.095031738,1646.36047363,1287.33227539,1684.55407715,1587.56152344,1582.14770508,1529.3001709,1618.85949707
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,775.691894531,1534.59765625,1482.04992676,1041.8170166,1463.60144043,1610.015625,1042.22119141,1677.63708496,1851.17248535,1466.6463623,1414.12561035,1520.5090332,2162.65258789,1851.31970215,1098.80627441,918.030883789,1900.203125,1668.99438477,1774.51403809,1803.58544922,2074.62744141,1554.42480469,1788.05859375
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,904.64074707,1330.81542969,1406.21191406,910.917419434,1350.14160156,1435.5723877,1062.51171875,1883.93530273,2048.61083984,1926.49279785,1247.71655273,1990.09057617,2335.14355469,1742.66247559,1040.42211914,804.77331543,1925.95471191,1276.71594238,1874.75537109,1587.14050293,1851.25292969,1737.01806641,2503.50292969
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,1783.06396484,1913.83886719,3437.52124023,2649.90454102,2788.30126953,2515.12768555,2217.32666016,2071.34570312,2225.17504883,2617.44580078,2236.03515625,3417.22680664,2279.46240234,1726.42370605,3232.06152344,2722.12133789,1988.43493652,2059.38134766,2466.16479492,2713.06152344,2017.41894531,1733.43273926,1884.58276367
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,2389.79956055,5252.10009766,4612.93994141,4162.67871094,3717.5690918,5623.96582031,4653.00585938,4041.00708008,4857.890625,4944.07177734,3734.79443359,4839.41308594,4499.00878906,3804.64233398,3907.11621094,3676.61694336,3237.0090332,4373.28759766,3753.32348633,4977.19970703,4179.05273438,5241.73876953,5330.45751953
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,1412.37805176,3365.66674805,3104.73950195,2790.63256836,2738.94580078,2916.69140625,2787.76586914,2968.87792969,2284.36694336,2294.89916992,2470.95361328,2672.48583984,2692.25878906,2911.80810547,3189.57080078,2794.84106445,1495.41918945,2608.68432617,2816.5847168,2742.73608398,1469.64575195,2091.85742188,1269.78662109
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,1600.60925293,2406.09375,2575.07983398,3091.17260742,2670.08837891,2510.86230469,2458.4309082,2695.19799805,1926.10900879,2324.03344727,2025.56848145,2911.86889648,2881.63232422,2202.49560547,2740.84863281,2244.61523438,1906.98779297,2560.87207031,2787.16943359,1885.56274414,1736.85803223,2384.84179688,2389.11669922
