FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,6.64676616915,9.85300768883,6.14540931705,8.80981456355,10.9452736318,8.00045228403,11.6497060154,9.94843962008,8.77702397105,7.11352329263,9.23903211217,8.18882858435,9.51085481682,6.94414292175,7.77566711895,12.9151967436,9.32406151063,11.566033469,10.0201266395,14.6675712347,11.842379014,9.92017186793,10.7379014021
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,13.3178807947,13.0,13.6821192053,12.0,16.2715231788,18.3178807947,19.3178807947,12.0,16.0,19.2715231788,11.0927152318,12.0,11.6821192053,20.0927152318,14.0,16.0927152318,16.5894039735,11.2715231788,20.6821192053,11.6821192053,18.0,19.0463576159,20.3642384106
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,12.7768389662,14.5189631442,16.2401233624,11.835346893,17.5193327216,10.911760208,11.2796936331,12.3291023092,13.7942600805,19.9743972065,16.6378013967,17.1540628027,14.3725977469,11.2007315084,9.79619717592,15.7644135189,11.5125911199,19.4790615283,16.4428301983,13.4241729113,28.3780904318,17.2093592292,22.9659351583
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,8.87851256281,10.9316180905,9.78034170854,7.11855276382,11.5003015075,10.8495678392,7.48759798995,9.10870351759,11.0630753769,9.47710552764,8.1584321608,12.4049045226,12.1729045226,11.7113567839,8.61419095477,8.93017085427,10.4891256281,12.1247437186,12.7240603015,10.4147537688,15.0114170854,12.8670150754,15.4765427136
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,14.4534538586,16.9392786472,12.0301672963,13.2071865443,11.9289170714,12.9041284404,11.9336391437,14.329672603,14.9526803382,20.193479043,20.3147328656,15.7390088145,14.4602716316,13.7041824069,10.7149487318,17.5784223781,14.3216675661,23.4015470408,20.2422378126,19.209875877,26.231138694,23.445538766,25.1334592553
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,9.40491955903,12.900756119,13.8577643589,10.6985269166,17.9754979161,9.70160707915,11.6295713005,11.9199853823,14.1697047743,17.7054007257,14.7676565532,18.3586562138,18.7690661191,10.5141870198,10.4013347371,15.8868779855,12.2686354184,21.1992882562,17.6912267574,13.3188055234,22.335241758,19.489006256,21.0492129924
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,14.9000984252,13.2780511811,13.5703740157,18.7898622047,18.9005905512,12.3361220472,15.1515748031,11.1840551181,14.4763779528,14.2057086614,16.8562992126,22.969980315,18.0073818898,9.62746062992,14.4719488189,10.9178149606,15.3144685039,14.0039370079,16.9030511811,12.9931102362,11.7647637795,20.0137795276,12.8371062992
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,15.2769726248,20.666129898,14.383252818,16.8497047772,16.0,14.5523349436,12.4669887279,13.7809983897,20.2490606549,15.4202898551,16.1814278046,24.0,20.0059044552,17.6092324208,24.8126677402,20.5185185185,21.1910896404,25.9656468062,23.5152979066,37.6983360172,25.6618357488,40.7890499195,49.9371980676
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,10.5019157088,18.7755427842,13.5892401022,20.401660281,20.8392401022,17.0854086845,21.2099297573,15.837164751,19.6061621967,14.004789272,11.469348659,21.8991060026,18.8393997446,16.0890804598,24.320083014,17.1923690932,14.8665389527,15.7800127714,25.4433269476,15.3138569604,23.8014048531,32.245210728,40.3034802043
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,13.7711646998,10.286300667,10.0041046691,12.8825038481,12.9363776296,14.3940482299,14.477680862,12.9923037455,12.4540790149,13.6926629041,13.7521806054,21.8630066701,23.8573627501,14.729091842,16.0574653669,14.2088250385,14.4284248332,11.5951770139,13.5033350436,10.5330938943,15.2519240636,16.9389430477,15.9204720369
