FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,13.0,55.0,40.0,49.0,40.0,56.0,62.0,53.0,51.0,51.0,48.0,34.0,56.0,28.0,40.0,47.0,62.0,55.0,29.0,50.0,49.0,29.0,37.0
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,81.0,108.0,101.0,96.0,104.0,92.0,110.0,103.0,95.0,113.0,92.0,99.0,109.0,107.0,111.0,119.0,115.0,94.0,113.0,99.0,110.0,115.0,147.0
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,41.0,63.0,65.0,50.0,50.0,56.0,48.0,79.0,80.0,71.0,54.0,85.0,95.0,67.0,57.0,46.0,54.0,76.0,80.0,68.0,82.0,77.0,92.0
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,30.0,56.0,40.0,38.0,46.0,40.0,33.0,60.0,63.0,47.0,43.0,73.0,64.0,58.0,37.0,32.0,46.0,55.0,63.0,53.0,49.0,49.0,75.0
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,35.0,65.0,57.0,44.0,53.0,53.0,50.0,64.0,66.0,62.0,53.0,72.0,77.0,67.0,45.0,46.0,50.0,67.0,61.0,65.0,67.0,65.0,82.0
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,36.0,56.0,59.0,38.0,45.0,47.0,41.0,68.0,67.0,66.0,42.0,66.0,77.0,60.0,42.0,43.0,54.0,61.0,68.0,59.0,65.0,69.0,86.0
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,65.0,85.0,86.0,92.0,94.0,86.0,82.0,94.0,70.0,94.0,90.0,109.0,84.0,79.0,109.0,88.0,90.0,90.0,100.0,96.0,83.0,82.0,86.0
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,94.0,144.0,142.0,125.0,134.0,153.0,158.0,140.0,154.0,139.0,122.0,167.0,149.0,125.0,156.0,143.0,112.0,183.0,153.0,154.0,160.0,174.0,172.0
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,46.0,114.0,105.0,110.0,110.0,102.0,99.0,105.0,82.0,97.0,61.0,92.0,112.0,98.0,120.0,92.0,76.0,108.0,104.0,107.0,62.0,80.0,47.0
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,65.0,71.0,78.0,91.0,83.0,82.0,84.0,96.0,74.0,97.0,79.0,116.0,96.0,72.0,85.0,72.0,71.0,110.0,93.0,70.0,77.0,94.0,93.0
10,KIR-20200925-1,KIR-ADM1-97431129B64900294,Gilbert Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,351.88131,14.0,35.0,91.0,44.0,54.0,41.0,41.0,26.0,8.0,46.0,42.0,11.0,41.0,21.0,43.0,112.0,56.0,19.0,18.0,78.0,27.0,11.0,8.0
11,KIR-20200925-2,KIR-ADM1-97431129B95465246,Line Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,675.68246,2.0,8.0,11.0,5.0,12.0,10.0,9.0,4.0,9.0,18.0,21.0,9.0,11.0,9.0,8.0,25.0,43.0,7.0,3.0,18.0,3.0,7.0,3.0
12,KIR-20200925-3,KIR-ADM1-97431129B92433757,Phoenix Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,79.47373,10.0,28.0,55.0,28.0,29.0,29.0,22.0,18.0,9.0,38.0,38.0,11.0,22.0,20.0,22.0,81.0,52.0,19.0,9.0,39.0,21.0,8.0,5.0
13,MHL-20200925-01,MHL-ADM1-77969171B78439827,Ailinglaplap, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,15.96907,77.0,95.0,113.0,96.0,110.0,86.0,90.0,83.0,98.0,84.0,95.0,132.0,87.0,86.0,118.0,109.0,101.0,101.0,116.0,83.0,115.0,104.0,132.0
14,MHL-20200925-02,MHL-ADM1-77969171B1338463,Ailuk, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7.65269,41.0,56.0,75.0,58.0,64.0,31.0,57.0,42.0,23.0,37.0,44.0,51.0,51.0,46.0,65.0,70.0,51.0,35.0,80.0,54.0,50.0,52.0,54.0
