,url,date,title,tag,location,print_url
0,https://matangitonga.to/2024/01/04/no-updates-homicide-investigation-human-remains-yellow-pier,2024-01-04, No updates on homicide investigation of human remains at Yellow Pier , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33916
1,https://matangitonga.to/2024/01/03/inter-island-travellers-rely-ferries-holiday-season,2024-01-03, Inter-island travellers rely on ferries this holiday season , Travel ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33911
2,https://matangitonga.to/2024/01/02/south-pacific-mozuku-growing-seaweed-health-and-beauty-products,2024-01-02, South Pacific Mozuku growing seaweed for health and beauty products , Business ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33887
3,https://matangitonga.to/2023/12/29/radio-transceivers-tongatapu-and-eua-police,2023-12-29, Radio transceivers for Tongatapu and 'Eua police , Communications ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33903
4,https://matangitonga.to/2023/12/29/new-police-and-fire-station-opens-haasini,2023-12-29, New Police and Fire Station opens at Ha'asini , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33901
5,https://matangitonga.to/2023/12/29/escaped-prisoner-captured-fatai,, Escaped prisoner captured at Fatai , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33902
6,https://matangitonga.to/2023/12/28/vaiola-visitors-charity-donates-160000-hospital-staff,2023-12-28," Vaiola Visitors charity donates $160,000 to hospital staff ", Health ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33900
7,https://matangitonga.to/2023/12/28/search-underway-escaped-prisoner-vaha-afemeimounga,2023-12-28, Search underway for escaped prisoner Vaha Afemeimo'unga , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33899
8,https://matangitonga.to/2023/12/28/prisoner-escapes-huatolitoli,2023-12-28, Prisoner escapes from Hu'atolitoli , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33898
9,https://matangitonga.to/2023/12/27/ten-police-officers-complete-driving-instructor-training-course,2023-12-27, Ten Police officers complete driving-instructor training course , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33897
10,https://matangitonga.to/2023/12/26/aged-care-centers-tongatapu-and-vavau-new-adb-project,2023-12-26, Aged care centers for Tongatapu and Vava'u in new ADB project , Health ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33875
11,https://matangitonga.to/2023/12/26/homicide-investigation-human-remains-found-yellow-pier,2023-12-26, Homicide investigation into human remains found at Yellow Pier , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33896
12,https://matangitonga.to/2023/12/22/scientists-found-two-merging-magma-chambers-underneath-hthh-massive-eruption,2023-12-22, Scientists found two merging magma chambers underneath HTHH massive eruption , Natural events ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33884
13,https://matangitonga.to/2023/12/21/german-aidasol-last-cruise-ship-2023,2023-12-21," German AIDAsol, last cruise ship Port of Nuku'alofa for 2023 ", Tourism ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33874
14,https://matangitonga.to/2023/12/21/matron-meet-health-minister-review-nurses-petition-today,2023-12-21, Matron to meet Health Minister to review nurses petition today , Health ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33873
15,https://matangitonga.to/2023/12/20/vaiola-nurses-protest-royal-palace-petition-pay-increase,2023-12-20, Vaiola nurses protest at Royal Palace with petition for pay increase , Health ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33860
16,https://matangitonga.to/2023/12/20/19-year-old-busted-meth-jailed,2023-12-20," 19-year-old busted with meth, jailed  ", From the Courts ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33857
17,https://matangitonga.to/2023/12/21/dangerous-driver-jailed-causing-death-sleeping-passenger,2023-12-20, Dangerous driver jailed for causing death of sleeping passenger , From the Courts ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33789
18,https://matangitonga.to/2023/12/20/four-males-injured-violent-machete-attack-during-cbd-bar-brawl,2023-12-20, Four males injured in violent machete attack during CBD bar brawl , Police and Crime ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33854
19,https://matangitonga.to/2023/12/20/drug-offender-arrested-vaini-imprisoned,2023-12-20," Drug offender arrested at Vaini, imprisoned  ", From the Courts ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33856
20,https://matangitonga.to/2023/10/24/father-and-sons-jailed-injuring-young-man-group-attack,2023-10-24, Father and sons jailed for injuring young man in group attack , From the Courts ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33457
21,https://matangitonga.to/2023/10/24/hthh-caused-major-loss-earths-protective-ozone-layer,2023-10-24, HTHH caused major loss to Earth's protective ozone layer , Pacific Islands ,"Nuku'alofa, Tonga",https://matangitonga.to/print/33456
