FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,20.7971506106,20.0171867933,25.1431478969,18.10538218,20.3279059249,19.8738127544,18.3805970149,20.1797829037,27.6696065129,26.5119855269,26.0734961556,24.2089552239,22.6987788331,23.9167797377,17.9371325192,20.6259611036,20.4579375848,20.8355947535,17.1766169154,13.947535052,17.7573496156,16.3647670737,20.3453188602
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,6.0,14.6821192053,21.6357615894,28.0,18.6357615894,29.4105960265,23.6821192053,14.0,14.9536423841,37.0,18.0,12.0,21.0,24.0,20.4105960265,10.5430463576,22.0,21.3642384106,16.2251655629,17.6821192053,19.9536423841,24.7748344371,16.0
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,12.1805959117,20.7581816792,18.3294591426,25.0441836163,20.6218076158,23.5098638936,25.6282815925,30.4526176276,22.7849441811,20.459830759,43.9065606362,15.4650558189,19.733713106,12.9965591069,21.8601850436,27.1975072641,24.5127185604,28.669368405,23.7479991844,21.0549013611,16.594535352,16.9677448132,30.7146480094
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,13.0784321608,22.1074572864,23.112160804,30.0027738693,21.7564623116,24.616120603,27.8291859296,29.5155376884,27.6935075377,22.760241206,29.6267336683,18.3782914573,23.2673768844,15.2675376884,27.2416080402,35.2617085427,27.1746331658,28.5430351759,30.9817889447,22.1162211055,18.1045226131,17.8841809045,17.231839196
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,13.7095880554,21.948533909,25.3217754992,39.5765065659,29.4211818672,29.6586706242,24.7647958266,24.8332074114,36.1412124483,30.8154883972,43.0305990286,25.0779816514,23.4672423098,12.2630329196,30.2484799424,31.6029411765,31.9126101817,27.1777028242,44.3311566829,21.4462043533,17.2665407447,24.4555315704,20.4190591833
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,12.1029592183,22.1522679219,19.3454132551,29.5748157558,22.7928808221,25.2850107458,26.2415665324,33.1193084426,24.8464269244,21.4498081424,42.0664497211,18.9597925676,22.4128113879,17.8806915574,21.1141487353,29.0106587545,27.1308547016,33.5686467297,25.2918758538,22.1485177805,18.4496776271,18.7274665228,31.2790331422
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,9.72687007874,8.60285433071,13.4527559055,11.4965551181,10.3375984252,21.8882874016,12.0546259843,11.3686023622,7.50836614173,9.85728346457,23.9630905512,7.97342519685,11.9724409449,10.6446850394,10.0068897638,11.8361220472,20.3907480315,6.49704724409,11.3543307087,10.876476378,13.6732283465,14.8149606299,12.6766732283
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,8.14063338701,8.23295759528,6.41814278046,10.1862587225,8.17713365539,12.1170155663,5.90821256039,7.31615673645,8.01986044015,7.0,25.6639828234,6.00053676865,7.0,7.4460547504,8.99946323135,4.37359098229,15.6945786366,3.90821256039,4.45679012346,6.7423510467,8.98926462695,7.10305958132,5.47020933977
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,8.72062579821,9.99042145594,12.0712005109,17.5866858238,11.5686462324,22.1425606641,16.8240740741,16.5747126437,12.0977011494,11.8433908046,23.2584610473,8.22014687101,12.0164431673,11.467752235,12.5450191571,9.5777458493,20.0727969349,4.79964878672,8.48068326948,11.9800446999,13.7394636015,10.2341954023,9.86031289911
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,9.5597742432,13.6711133915,18.7414058492,15.7865572088,13.2975885069,16.3724987173,9.87634684454,12.3935351462,11.7049769112,9.90764494613,12.7172909184,8.94869163674,11.9907644946,11.783478707,13.1944586968,14.396613648,26.0548999487,8.02770651616,13.1652129297,21.0492560287,18.4617752694,12.481785531,7.38789122627
10,KIR-20200925-1,KIR-ADM1-97431129B64900294,Gilbert Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,351.88131,29.2480844543,31.154776094,13.4679039673,22.3298144049,16.2720926273,26.5125148987,37.0636812532,33.9744593904,83.8624212498,47.381576707,43.6153584199,52.1277030478,47.7541290652,25.9982972927,24.0081729951,15.7590669164,42.7483398604,31.7725183041,29.5852205006,17.9203132981,38.83449685,63.0418865997,44.2298654861
11,KIR-20200925-2,KIR-ADM1-97431129B95465246,Line Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,675.68246,70.8199128036,68.1040128125,40.3497642139,52.7136755939,47.4935492482,60.5558323694,70.7988255183,124.208648456,135.135421301,40.708070113,89.9977756028,141.902660379,99.9484829611,85.5974730848,126.93380194,27.8732093603,187.263991458,222.165673103,153.836017439,68.537948216,133.935848385,188.659311327,70.836195391
12,KIR-20200925-3,KIR-ADM1-97431129B92433757,Phoenix Islands, , ,KIR-20220801,KIR,Kiribati,Kiribati,0,2,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/KIR/ALL/,geoBoundaries,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,79.47373,33.4761182714,46.8210765732,18.8112206217,23.1417740713,17.8650492798,25.6921910538,38.8832448825,29.3699772555,53.1463229719,39.9257012889,37.5670962851,50.4260803639,43.159969674,32.5352539803,25.7490523124,13.9090219864,35.8900682335,38.3093252464,31.2956785444,22.5253980288,49.6611068992,41.1015921152,48.3487490523
13,MHL-20200925-01,MHL-ADM1-77969171B78439827,Ailinglaplap, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,15.96907,9.01872659176,11.0,13.0,13.3071161049,11.2734082397,11.5730337079,10.9887640449,12.9325842697,11.2846441948,14.1011235955,20.1647940075,10.9288389513,11.4419475655,15.3895131086,17.0823970037,12.1647940075,21.9588014981,10.7041198502,6.9138576779,18.8014981273,12.2134831461,11.8913857678,13.9438202247
14,MHL-20200925-02,MHL-ADM1-77969171B1338463,Ailuk, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7.65269,10.5952380952,21.9920634921,16.4444444444,29.1587301587,14.880952381,22.126984127,31.3650793651,30.5079365079,26.1507936508,38.0,22.9206349206,19.6984126984,21.6507936508,30.1587301587,22.0079365079,26.1428571429,33.6746031746,19.4285714286,13.4206349206,43.7142857143,19.5476190476,33.880952381,36.2380952381
15,MHL-20200925-03,MHL-ADM1-77969171B26491534,Arno, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,15.32572,7.568,11.896,9.748,14.624,10.22,10.688,13.332,13.98,11.596,11.8,19.104,11.144,9.644,13.648,22.44,14.92,30.564,9.468,7.532,17.156,13.852,14.0,8.448
16,MHL-20200925-04,MHL-ADM1-77969171B25861322,Aur, , ,MHL-20220801,MHL,Marshall Islands,Marshall Islands,0,1,en, , ,1/1/17 0:00,25/09/2020 00:00:00,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,https://www.geoboundaries.org/api/current/gbOpen/MHL/ALL/,geoBoundaries,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6.07764,8.0,15.4646464646,17.7878787879,22.101010101,13.6464646465,16.9090909091,19.202020202,17.5757575758,12.2626262626,20.0202020202,19.9595959596,14.1212121212,12.4444444444,16.5353535354,28.6565656566,13.3131313131,39.7171717172,17.0,6.87878787879,33.7777777778,15.0505050505,16.696969697,37.3636363636
